                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.86099,                0.76596,                 1.2956,                0.93201,                0.94021,                0.97433,                0.81096,                0.65899,                0.51305,                 1.1747,              0.0011126,              0.0011126,              0.0011126
                    113,                0.87518,                0.81542,                 1.3167,                0.93948,                0.94337,                0.97215,                0.81624,                0.64189,                 0.4938,                 1.1467,              0.0011114,              0.0011114,              0.0011114
                    114,                0.85263,                0.78802,                 1.2861,                0.96891,                0.93766,                0.97513,                0.81658,                0.62846,                0.50342,                 1.1381,              0.0011102,              0.0011102,              0.0011102
                    115,                0.80852,                0.70876,                 1.2519,                0.91288,                0.91981,                0.96265,                0.78216,                0.76112,                0.58956,                 1.2413,              0.0011089,              0.0011089,              0.0011089
                    116,                0.84172,                0.76929,                  1.282,                0.90157,                0.94583,                0.97315,                0.83256,                0.58945,                0.50485,                 1.1172,              0.0011077,              0.0011077,              0.0011077
                    117,                 0.8213,                0.72437,                 1.2856,                0.94369,                0.95483,                0.97439,                0.81298,                0.62459,                0.50939,                 1.1241,              0.0011065,              0.0011065,              0.0011065
                    118,                0.83283,                0.74254,                 1.2664,                0.95725,                0.94015,                0.97671,                0.80201,                0.65511,                0.50439,                 1.1682,              0.0011052,              0.0011052,              0.0011052
                    119,                 0.8152,                0.75391,                 1.2606,                0.93726,                0.97329,                0.98006,                0.82197,                0.62141,                0.48571,                 1.1285,               0.001104,               0.001104,               0.001104
                    120,                0.80492,                0.72135,                 1.2396,                0.95505,                0.95059,                0.97848,                 0.8027,                0.64835,                0.49056,                 1.1558,              0.0011027,              0.0011027,              0.0011027
                    121,                  0.822,                0.67909,                 1.2527,                0.94959,                0.94263,                0.98158,                0.82347,                0.61767,                0.50151,                 1.1249,              0.0011015,              0.0011015,              0.0011015
                    122,                0.83451,                 0.7194,                 1.2649,                 0.9554,                0.95152,                0.98129,                0.80372,                0.68169,                 0.4845,                 1.1768,              0.0011003,              0.0011003,              0.0011003
                    123,                0.80397,                0.71017,                 1.2565,                0.95364,                0.95967,                0.97992,                0.81994,                0.64462,                0.45795,                 1.1509,               0.001099,               0.001099,               0.001099
                    124,                0.84509,                0.70654,                 1.2579,                0.95284,                0.95669,                0.98129,                0.82267,                0.63139,                 0.4793,                 1.1446,              0.0010978,              0.0010978,              0.0010978
                    125,                0.82671,                0.71139,                 1.2615,                0.95828,                0.97055,                0.98049,                0.83023,                0.62819,                 0.4545,                 1.1218,              0.0010965,              0.0010965,              0.0010965
                    126,                0.79289,                0.67042,                 1.2442,                0.95531,                0.94679,                0.97642,                0.81783,                0.64463,                0.46468,                 1.1415,              0.0010953,              0.0010953,              0.0010953
                    127,                0.86178,                0.69466,                 1.2787,                0.91864,                0.91635,                0.97044,                0.78558,                0.69752,                0.57944,                 1.1953,              0.0010941,              0.0010941,              0.0010941
                    128,                0.81893,                0.70333,                 1.2418,                0.93835,                0.92521,                0.97111,                0.80475,                 0.6488,                0.50017,                 1.1529,              0.0010928,              0.0010928,              0.0010928
                    129,                0.80256,                0.71107,                 1.2475,                0.93593,                 0.9436,                0.96483,                0.79718,                0.64122,                0.52983,                 1.1516,              0.0010916,              0.0010916,              0.0010916
                    130,                0.81987,                0.71212,                 1.2499,                0.96245,                0.96407,                0.98053,                0.82824,                0.61581,                0.47035,                 1.1269,              0.0010904,              0.0010904,              0.0010904
                    131,                0.76613,                0.69175,                 1.2172,                 0.9344,                0.96942,                0.97761,                0.81567,                 0.6368,                0.47873,                 1.1222,              0.0010891,              0.0010891,              0.0010891
                    132,                0.76646,                0.67339,                 1.2105,                0.94808,                0.96312,                0.98039,                0.82661,                0.61779,                0.47451,                 1.1258,              0.0010879,              0.0010879,              0.0010879
